0.17,0.33,0.33,0.94,0.64,0.13,0.62,0.53,0.81,0.30
0.07,0.96,0.68,0.63,0.29,0.15,0.71,0.41,0.77,0.83
0.86,0.77,0.69,0.72,0.15,0.63,0.09,0.28,0.28,0.27
0.22,0.22,0.45,0.61,0.17,0.58,0.81,0.91,0.89,0.68
0.17,0.12,0.32,0.90,0.92,0.90,0.76,0.04,0.44,0.93
0.02,0.71,0.32,0.08,0.43,0.04,0.94,0.30,0.51,0.17
0.83,0.38,0.99,0.52,0.84,0.15,0.46,0.68,0.65,0.21
0.31,0.15,0.85,0.43,0.46,0.55,0.30,0.51,0.70,0.71
0.82,0.96,0.76,0.95,0.53,0.48,0.43,0.94,0.34,0.15
0.82,0.49,0.19,0.68,0.67,0.60,0.08,0.75,0.15,0.36
0.60,0.11,0.09,0.88,0.03,0.47,0.94,0.22,0.65,0.47
0.16,0.87,0.97,0.86,0.59,0.95,0.72,0.91,0.56,0.13
0.20,0.71,0.88,0.07,0.81,0.91,0.94,0.80,0.97,0.04
0.85,0.59,0.70,0.68,0.64,0.45,0.51,0.58,0.93,0.05
0.27,0.10,0.68,0.03,0.48,0.05,0.89,0.59,0.05,0.96
0.61,0.34,0.30,0.44,0.17,0.96,0.70,0.15,0.85,0.04
0.94,0.63,0.57,0.30,0.59,0.51,0.17,0.36,0.79,0.98
0.24,0.01,0.32,0.89,0.43,0.80,0.99,0.54,0.36,0.75
0.53,0.35,0.21,0.93,0.09,0.19,0.54,0.64,0.12,0.96
0.25,0.51,0.79,0.15,0.83,0.85,0.17,0.81,0.81,0.40
0.81,0.65,0.58,0.38,0.14,0.29,0.73,0.99,0.19,0.24
0.27,0.68,0.20,0.60,0.54,0.31,0.92,0.51,0.71,0.44
