0.33	0.12	0.06	0.26	0.95	0.22	0.35	0.76	0.12	0.30
0.66	0.02	0.07	0.95	0.66	0.05	0.93	0.82	0.79	0.54
0.66	0.18	1.00	0.90	0.38	0.90	0.91	0.69	0.68	0.56
0.09	0.18	0.06	0.98	0.94	0.50	0.35	0.62	0.13	0.30
0.90	0.29	0.50	0.65	0.57	0.51	0.99	0.00	0.20	0.49
0.88	0.43	0.97	0.31	0.15	0.53	0.99	0.68	0.71	0.47
0.24	0.38	0.35	0.49	0.94	0.88	0.93	0.72	0.45	0.22
0.77	0.97	0.14	0.10	0.51	0.26	0.89	0.69	0.89	0.99
0.55	0.50	0.40	0.10	0.79	0.19	0.73	0.22	0.96	0.69
0.85	0.04	0.46	0.84	0.17	0.48	0.31	0.43	0.82	0.72
0.08	0.63	0.02	0.63	0.45	0.95	0.50	0.70	0.67	0.49
0.35	0.26	0.22	0.89	0.78	0.71	0.14	0.04	0.48	0.04
0.45	0.46	0.45	0.31	0.81	0.56	0.11	0.92	0.27	0.56
0.72	0.44	0.57	0.43	0.03	0.43	0.64	0.46	0.32	0.06
0.57	0.76	0.06	0.70	0.27	0.36	0.94	0.62	0.65	0.01
0.05	0.24	0.26	0.77	0.11	0.73	0.21	0.03	0.19	0.84
0.48	0.84	0.88	0.72	0.97	0.33	0.02	0.61	0.23	0.23
0.90	0.43	0.94	0.18	0.66	0.39	0.24	0.79	0.70	0.99
0.84	0.50	0.13	0.08	0.91	0.05	0.86	0.22	0.49	0.36
0.05	0.24	0.24	0.27	0.82	0.94	0.13	1.00	0.92	0.51
0.54	0.37	0.48	0.02	0.02	0.91	0.50	0.08	0.03	0.06
0.35	0.29	0.72	0.33	0.53	0.19	0.58	0.94	0.05	0.06
0.78	0.58	0.92	0.70	0.40	0.29	0.89	0.44	0.92	0.95
0.30	0.38	0.20	0.07	0.47	0.57	0.54	0.01	0.75	0.00
0.14	0.78	0.88	0.75	0.63	0.33	0.71	0.73	0.15	0.08
0.67	0.26	0.02	0.24	0.39	0.78	0.97	0.08	0.52	0.55
0.76	0.53	0.84	0.72	0.77	0.64	0.71	0.26	0.18	0.89
0.53	0.91	0.02	0.94	0.90	0.68	0.24	0.86	1.00	0.81
0.94	0.58	0.59	0.67	0.71	0.28	0.53	0.09	0.18	0.82
0.75	0.32	0.60	0.14	0.15	0.26	0.48	0.58	0.30	0.83
0.63	0.91	0.56	0.08	0.70	0.06	0.11	0.61	0.33	0.39
0.43	0.19	0.55	0.04	0.79	0.08	0.01	0.66	0.09	0.23
0.90	0.13	0.50	0.09	0.68	0.96	0.95	0.01	0.24	0.23
0.17	0.45	0.88	0.72	0.32	0.36	0.37	0.28	0.13	0.06
0.37	0.12	0.62	0.02	0.01	0.81	0.65	0.40	0.87	0.61
0.39	0.37	0.84	0.73	0.39	0.48	0.28	0.13	0.69	0.08
0.04	0.55	0.34	0.70	0.85	0.53	0.62	0.85	0.26	0.33
0.61	0.84	0.79	0.18	0.20	0.52	0.45	0.98	0.82	0.90
0.50	0.50	0.79	0.41	0.16	0.78	0.18	0.79	0.34	0.24
